Datetime,Water Level (m)
2024-05-11 12:00:00,-0.1145302
2024-05-11 13:00:00,-0.90726346
2024-05-11 14:00:00,-1.567963
2024-05-11 15:00:00,-1.9629304
2024-05-11 16:00:00,-1.8030217
2024-05-11 17:00:00,-0.9790038
2024-05-11 18:00:00,-0.03703149
2024-05-11 19:00:00,0.794982
2024-05-11 20:00:00,1.2817625
2024-05-11 21:00:00,1.3987852
2024-05-11 22:00:00,1.1499845
2024-05-11 23:00:00,0.5671036
2024-05-12 00:00:00,-0.1808285
2024-05-12 01:00:00,-0.9164509
2024-05-12 02:00:00,-1.5368524
2024-05-12 03:00:00,-1.8858043
2024-05-12 04:00:00,-1.6710829
2024-05-12 05:00:00,-0.77770674
2024-05-12 06:00:00,0.22606638
2024-05-12 07:00:00,1.1612041
2024-05-12 08:00:00,1.7474757
2024-05-12 09:00:00,1.9888593
2024-05-12 10:00:00,1.8276085
2024-05-12 11:00:00,1.2629716
2024-05-12 12:00:00,0.47580624
2024-05-12 13:00:00,-0.35520718
2024-05-12 14:00:00,-1.1000527
2024-05-12 15:00:00,-1.6560285
2024-05-12 16:00:00,-1.8624663
2024-05-12 17:00:00,-1.4865025
2024-05-12 18:00:00,-0.67814213
2024-05-12 19:00:00,0.11955257
2024-05-12 20:00:00,0.7888354
2024-05-12 21:00:00,1.1383677
2024-05-12 22:00:00,1.2046778
2024-05-12 23:00:00,0.9454116
2024-05-13 00:00:00,0.39336985
2024-05-13 01:00:00,-0.2646157
2024-05-13 02:00:00,-0.90605295
2024-05-13 03:00:00,-1.4069381
2024-05-13 04:00:00,-1.6155592
2024-05-13 05:00:00,-1.2638289
2024-05-13 06:00:00,-0.45140475
2024-05-13 07:00:00,0.40617454
2024-05-13 08:00:00,1.1571993
2024-05-13 09:00:00,1.5902264
2024-05-13 10:00:00,1.7243261
2024-05-13 11:00:00,1.5181705
2024-05-13 12:00:00,0.98380953
2024-05-13 13:00:00,0.29662028
2024-05-13 14:00:00,-0.4226255
2024-05-13 15:00:00,-1.0661285
2024-05-13 16:00:00,-1.5114161
2024-05-13 17:00:00,-1.6160103
2024-05-13 18:00:00,-1.2397913
2024-05-13 19:00:00,-0.5606043
2024-05-13 20:00:00,0.13199641
2024-05-13 21:00:00,0.68772215
2024-05-13 22:00:00,0.9753664
2024-05-13 23:00:00,1.0104861
2024-05-14 00:00:00,0.78650403
2024-05-14 01:00:00,0.3314612
2024-05-14 02:00:00,-0.22098853
2024-05-14 03:00:00,-0.7610085
2024-05-14 04:00:00,-1.1572076
2024-05-14 05:00:00,-1.2684644
2024-05-14 06:00:00,-0.9510406
2024-05-14 07:00:00,-0.3119412
2024-05-14 08:00:00,0.39394748
2024-05-14 09:00:00,1.0017087
2024-05-14 10:00:00,1.3660588
2024-05-14 11:00:00,1.4635391
2024-05-14 12:00:00,1.2667716
2024-05-14 13:00:00,0.80191946
2024-05-14 14:00:00,0.2045947
2024-05-14 15:00:00,-0.41661724
2024-05-14 16:00:00,-0.9581414
2024-05-14 17:00:00,-1.310249
2024-05-14 18:00:00,-1.383316
2024-05-14 19:00:00,-1.09355
2024-05-14 20:00:00,-0.55032164
2024-05-14 21:00:00,0.043962076
2024-05-14 22:00:00,0.5352239
2024-05-14 23:00:00,0.82948655
2024-05-15 00:00:00,0.91404134
2024-05-15 01:00:00,0.77370006
2024-05-15 02:00:00,0.4247984
2024-05-15 03:00:00,-0.05001927
2024-05-15 04:00:00,-0.5371506
2024-05-15 05:00:00,-0.90209585
2024-05-15 06:00:00,-1.017187
2024-05-15 07:00:00,-0.80476457
2024-05-15 08:00:00,-0.3218007
2024-05-15 09:00:00,0.2494262
2024-05-15 10:00:00,0.7660832
2024-05-15 11:00:00,1.10274
2024-05-15 12:00:00,1.2322732
2024-05-15 13:00:00,1.1230141
2024-05-15 14:00:00,0.778385
2024-05-15 15:00:00,0.277305
2024-05-15 16:00:00,-0.28057116
2024-05-15 17:00:00,-0.78793013
2024-05-15 18:00:00,-1.1451231
2024-05-15 19:00:00,-1.2687172
2024-05-15 20:00:00,-1.0840883
2024-05-15 21:00:00,-0.6395336
2024-05-15 22:00:00,-0.093136445
2024-05-15 23:00:00,0.4197911
2024-05-16 00:00:00,0.77510214
2024-05-16 01:00:00,0.9470751
2024-05-16 02:00:00,0.9189825
2024-05-16 03:00:00,0.6790886
2024-05-16 04:00:00,0.25258395
2024-05-16 05:00:00,-0.2508458
2024-05-16 06:00:00,-0.6792804
2024-05-16 07:00:00,-0.9050648
2024-05-16 08:00:00,-0.8404199
2024-05-16 09:00:00,-0.47902948
2024-05-16 10:00:00,0.045762673
2024-05-16 11:00:00,0.5678363
2024-05-16 12:00:00,0.94051546
2024-05-16 13:00:00,1.1302551
2024-05-16 14:00:00,1.1280034
2024-05-16 15:00:00,0.8989635
2024-05-16 16:00:00,0.4562906
2024-05-16 17:00:00,-0.10724146
2024-05-16 18:00:00,-0.6564827
2024-05-16 19:00:00,-1.0799215
2024-05-16 20:00:00,-1.2861748
2024-05-16 21:00:00,-1.1663684
